CLM123456789,POL7890123,20230615,WA,P,24500.00,45,15,60000.00,CONS,3,40,S,24500.00,CONS,NE1
CLM123456790,POL7890124,20230720,WA,P,12800.00,38,12,55000.00,MANU,2,35,O,12800.00,MANU,MW2
CLM123456791,POL7890125,20230810,WA,P,8750.00,42,18,48000.00,OFFI,1,30,M,8750.00,OFFI,SE3
CLM123456792,POL7890126,20230905,WA,P,32000.00,50,25,75000.00,CONS,3,45,S,32000.00,CONS,NE1
CLM123456793,POL7890127,20231012,WA,P,15000.00,35,8,52000.00,MANU,2,38,O,15000.00,MANU,MW2
CLM123456794,POL7890128,20231118,WA,P,9500.00,47,20,62000.00,OFFI,1,28,M,9500.00,OFFI,SE3
CLM123456795,POL7890129,20231201,WA,P,28000.00,52,30,80000.00,CONS,4,50,C,28000.00,CONS,NE1
CLM123456796,POL7890130,20240115,WA,P,18000.00,40,15,58000.00,MANU,2,42,O,18000.00,MANU,MW2
CLM123456797,POL7890131,20240220,WA,P,12000.00,44,17,54000.00,OFFI,1,32,M,12000.00,OFFI,SE3
CLM123456798,POL7890132,20240310,WA,P,35000.00,55,35,85000.00,CONS,4,55,C,35000.00,CONS,NE1
